"Date",	"Rm_minus_Rf","SMB","HML","WML","IML","Risk_Free"
29/09/2010	,0.00868490383348244,-0.00241078837251648,-0.00282414207895138,0.00377214782849957,-0.000405111410744355,0.000400957798838641
30/09/2010	,0.00332754923365717,0.00523682081551953,0.00164961280031458,0.0131294031478438,0.00042734981766645,0.000401316622518966
01/10/2010	,0.0103468458653769,0.00737503485478962,-0.00466682983783113,0.0112783694412389,0.00181740131019777,0.000401316622518966
04/10/2010	,0.00205699937623983,-0.00511070765020835,-0.00193294077171933,0.00515885870822707,-0.00362659744262841,0.000400957798838641
05/10/2010	,0.00908702416781738,0.00306925342151404,0.00459301337808512,0.00736225328436371,-0.00173261568143644,0.000401316622518966
06/10/2010	,-0.00934024248283936,0.00577537407874961,-0.00104465375151305,0.00898199995861137,0.0127395572439657,0.000401316622518966
07/10/2010	,-0.0072248523626753,0.00113587631922668,-0.00417970438146153,0.00482007713853227,0.00553070789738719,0.000400598942851271
08/10/2010	,0.0137264735958414,-0.00288485501677236,0.00268521550837698,0.00171397825511347,0.00137971927874358,0.000400957798838641
11/10/2010	,0.00121410152047526,0.00305383487623993,0.00444820671521223,0.00107563603677407,0.00713613228195987,0.000400957798838641
13/10/2010	,0.00971763571598286,3.00200470438206e-05,-0.00234960423615061,0.0166446352988999,-0.00111474372088339,0.000400598942851271
14/10/2010	,0.00111002380083839,0.0148441626273162,-0.00257005833054935,-0.0122700433947625,0.00417249183697519,0.000400957798838641
15/10/2010	,0.00199360502395044,0.00902721220841478,0.00441225713626141,0.00501214889421741,0.00107992305947321,0.000400957798838641
18/10/2010	,0.00107422675440452,0.00514216719368226,0.00400573996241397,-0.00271112266602139,0.00545590680778774,0.000400957798838641
19/10/2010	,-0.0237208586564256,-0.00722381582420614,0.00104892209561985,0.00275618433584451,-0.000476300993371849,0.000400957798838641
20/10/2010	,0.00603834522235103,0.0101038934289129,0.00324512547884141,0.00738693218972438,-0.00100086012819176,0.000400957798838641
21/10/2010	,-0.0102825666177804,0.0148886196171667,-0.00266155162975546,0.0128168561017615,0.0114093530892621,0.000401316622518966
22/10/2010	,-0.00150138023756709,0.0267830368385035,0.00441778781610431,-0.00637330226995328,0.00610487182009891,0.000401316622518966
25/10/2010	,0.00499891421281067,-0.00445814966014768,-0.0134216679544636,-4.23427151169982e-05,0.00285528969087946,0.000401675413897573
26/10/2010	,0.0148381178939015,-0.00430022489846601,0.00845418790681342,-0.00361851511273839,0.00246936560859819,0.000401316622518966
27/10/2010	,-0.00675622681896397,0.00463620780573397,-0.00565917565989146,-0.0138320773151448,0.00024792659092773,0.000401316622518966
28/10/2010	,-0.00395825832001447,-0.0113352941252486,-0.00497910481336853,0.00305084320129114,-0.00895390711012928,0.000401316622518966
29/10/2010	,0.00367518457860342,-0.00328932469052823,-0.00975983359131057,0.0100734534017121,-0.00392554943562138,0.000401675413897573
01/11/2010	,0.0132591516419169,-1.8052257835242e-05,0.00802056818809291,-0.00614694783698174,0.00631955182739047,0.000401675413897573
03/11/2010	,0.00489352003003137,-0.000252233608323077,-0.000318303425741625,0.00583352838759244,0.000281875176869574,0.000401316622518966
04/11/2010	,0.0159684958331301,-0.00231888830010653,0.00394465319500652,-0.00774539536249378,-0.0036122317549874,0.000401316622518966
05/11/2010	,-0.00435517007368897,-0.000957446783767058,0.000759134679532168,-0.00559465602715228,0.00222652117261994,0.000401675413897573
08/11/2010	,0.00342043957739069,-0.00390677438428255,0.00776056457114075,-0.00528969178411231,0.00437908582388583,0.000401675413897573
09/11/2010	,-0.0128132368538892,-0.00715182086619681,0.00652044634407716,0.0044570591162912,0.0115818439786929,0.000401316622518966
10/11/2010	,0.000445246467909303,-0.0109710822440057,-0.00366847742640545,-0.00865181744548661,-0.00893634040668716,0.000401316622518966
11/11/2010	,-0.0103513504629241,0.00328271793954385,-0.00640280712657747,0.00823458790191355,1.5754619902531e-05,0.000401675413897573
12/11/2010	,-0.0109444070990932,-0.0123381500332363,0.000583369438568774,0.0022869015190813,-0.0041019592498602,0.000401675413897573
16/11/2010	,-0.0148247581027419,-0.0103662747108748,0.00060109137305827,0.0109097991023927,-0.00139659676701595,0.000402034172980459
17/11/2010	,0.00502463183587615,0.00594366249527915,0.00129213345413043,0.006615843722478,0.00160975410056073,0.000402034172980459
18/11/2010	,0.014891841702023,0.00521091858387441,-0.00812280078370286,0.003709459951119,0.000863425877562949,0.000402034172980459
